adduser	3.118ubuntu5
adi-cces-2.10.1	2.10.1
adwaita-icon-theme	41.0-1ubuntu1
alsa-topology-conf	1.2.5.1-2
alsa-ucm-conf	1.2.6.3-1ubuntu1.12
apt	2.4.13
base-files	12ubuntu4.7
base-passwd	3.5.52build1
bash	5.1-6ubuntu1.1
bc	1.07.1-3build1
binutils	2.38-4ubuntu2.12
binutils-aarch64-linux-gnu	2.38-4ubuntu2.12
binutils-arm-linux-gnueabihf	2.38-4ubuntu2.12
binutils-common	2.38-4ubuntu2.12
binutils-x86-64-linux-gnu	2.38-4ubuntu2.12
bsdutils	1:2.37.2-4ubuntu3.4
build-essential	12.9ubuntu3
bzip2	1.0.8-5build1
ca-certificates	20260601~22.04.1
chrpath	0.16-2
coreutils	8.32-4.1ubuntu1.2
cpio	2.13+dfsg-7ubuntu0.1
cpp-11	11.4.0-1ubuntu1~22.04.3
cpp-11-aarch64-linux-gnu	11.4.0-1ubuntu1~22.04.3cross1
cpp-11-arm-linux-gnueabihf	11.4.0-1ubuntu1~22.04.3cross1
cpp	4:11.2.0-1ubuntu1
cpp-aarch64-linux-gnu	4:11.2.0-1ubuntu1
cpp-arm-linux-gnueabihf	4:11.2.0-1ubuntu1
crossbuild-essential-arm64	12.9ubuntu3
crossbuild-essential-armhf	12.9ubuntu3
cross-config	2.6.18+nmu2
curl	7.81.0-1ubuntu1.25
dash	0.5.11+git20210903+057cd650a4ed-3build1
dbus	1.12.20-2ubuntu4.1
debconf	1.5.79ubuntu1
debconf-utils	1.5.79ubuntu1
debianutils	5.5-1ubuntu2
diffstat	1.64-1build2
diffutils	1:3.8-0ubuntu2
dirmngr	2.2.27-3ubuntu2.5
dpkg	1.21.1ubuntu2.3
dpkg-cross	2.6.18+nmu2
dpkg-dev	1.21.1ubuntu2.6
e2fsprogs	1.46.5-2ubuntu1.2
efitools	1.9.2-1ubuntu3
fakeroot	1.28-1ubuntu1
file	1:5.41-3ubuntu0.1
findutils	4.8.0-1ubuntu3
fontconfig	2.13.1-4.2ubuntu5
fontconfig-config	2.13.1-4.2ubuntu5
fonts-dejavu-core	2.37-2build1
g++-11	11.4.0-1ubuntu1~22.04.3
g++-11-aarch64-linux-gnu	11.4.0-1ubuntu1~22.04.3cross1
g++-11-arm-linux-gnueabihf	11.4.0-1ubuntu1~22.04.3cross1
g++	4:11.2.0-1ubuntu1
g++-aarch64-linux-gnu	4:11.2.0-1ubuntu1
g++-arm-linux-gnueabihf	4:11.2.0-1ubuntu1
gawk	1:5.1.0-1ubuntu0.1
gcc-11	11.4.0-1ubuntu1~22.04.3
gcc-11-aarch64-linux-gnu	11.4.0-1ubuntu1~22.04.3cross1
gcc-11-aarch64-linux-gnu-base	11.4.0-1ubuntu1~22.04.3cross1
gcc-11-arm-linux-gnueabihf	11.4.0-1ubuntu1~22.04.3cross1
gcc-11-arm-linux-gnueabihf-base	11.4.0-1ubuntu1~22.04.3cross1
gcc-11-base	11.4.0-1ubuntu1~22.04.3
gcc-11-cross-base	11.4.0-1ubuntu1~22.04.3cross1
gcc-12-base	12.3.0-1ubuntu1~22.04.3
gcc-12-base	12.3.0-1ubuntu1~22.04.3
gcc-12-cross-base	12.3.0-1ubuntu1~22.04.3cross1
gcc	4:11.2.0-1ubuntu1
gcc-aarch64-linux-gnu	4:11.2.0-1ubuntu1
gcc-arm-linux-gnueabihf	4:11.2.0-1ubuntu1
gdb	12.1-0ubuntu1~22.04.2
git	1:2.34.1-1ubuntu1.17
git-lfs	3.0.2-1ubuntu0.3
git-man	1:2.34.1-1ubuntu1.17
gnupg	2.2.27-3ubuntu2.5
gnupg-l10n	2.2.27-3ubuntu2.5
gnupg-utils	2.2.27-3ubuntu2.5
gpg	2.2.27-3ubuntu2.5
gpg-agent	2.2.27-3ubuntu2.5
gpgconf	2.2.27-3ubuntu2.5
gpgsm	2.2.27-3ubuntu2.5
gpgv	2.2.27-3ubuntu2.5
gpg-wks-client	2.2.27-3ubuntu2.5
gpg-wks-server	2.2.27-3ubuntu2.5
grep	3.7-1build1
gtk2-engines	1:2.20.2-5build2
gtk2-engines-murrine	0.98.2-3build2
gtk-update-icon-cache	3.24.33-1ubuntu2.2
gzip	1.10-4ubuntu4.1
hicolor-icon-theme	0.17-2
hostname	3.23ubuntu2
humanity-icon-theme	0.6.16
init-system-helpers	1.62
iputils-ping	3:20211215-1ubuntu0.1
javascript-common	11+nmu1
krb5-locales	1.19.2-2ubuntu0.7
less	590-1ubuntu0.22.04.3
libacl1	2.3.1-1
libalgorithm-diff-perl	1.201-1
libalgorithm-diff-xs-perl	0.04-6build3
libalgorithm-merge-perl	0.08-3
libapparmor1	3.0.4-2ubuntu2.5
libapt-pkg6.0	2.4.13
libasan6	11.4.0-1ubuntu1~22.04.3
libasan6-arm64-cross	11.4.0-1ubuntu1~22.04.3cross1
libasan6-armhf-cross	11.4.0-1ubuntu1~22.04.3cross1
libasound2	1.2.6.1-1ubuntu1.2
libasound2	1.2.6.1-1ubuntu1.2
libasound2-data	1.2.6.1-1ubuntu1.2
libasound2-dev	1.2.6.1-1ubuntu1.2
libassuan0	2.5.5-1build1
libasyncns0	0.8-6build2
libatk1.0-0	2.36.0-3build1
libatk1.0-0	2.36.0-3build1
libatk1.0-data	2.36.0-3build1
libatomic1	12.3.0-1ubuntu1~22.04.3
libatomic1-arm64-cross	12.3.0-1ubuntu1~22.04.3cross1
libatomic1-armhf-cross	12.3.0-1ubuntu1~22.04.3cross1
libattr1	1:2.5.1-1build1
libaudit1	1:3.0.7-1build1
libaudit-common	1:3.0.7-1build1
libauthen-sasl-perl	2.1600-1.1
libavahi-client3	0.8-5ubuntu5.5
libavahi-client3	0.8-5ubuntu5.5
libavahi-common3	0.8-5ubuntu5.5
libavahi-common3	0.8-5ubuntu5.5
libavahi-common-data	0.8-5ubuntu5.5
libavahi-common-data	0.8-5ubuntu5.5
libbabeltrace1	1.5.8-2build1
libbinutils	2.38-4ubuntu2.12
libblkid1	2.37.2-4ubuntu3.5
libblkid1	2.37.2-4ubuntu3.5
libblkid-dev	2.37.2-4ubuntu3.5
libboost-regex1.74.0	1.74.0-14ubuntu3
libbrotli1	1.0.9-2build6
libbrotli1	1.0.9-2build6
libbsd0	0.11.5-1
libbsd0	0.11.5-1
libbz2-1.0	1.0.8-5build1
libc6	2.35-0ubuntu3.13
libc6	2.35-0ubuntu3.13
libc6-arm64-cross	2.35-0ubuntu1cross3
libc6-armhf-cross	2.35-0ubuntu1cross3
libc6-dbg	2.35-0ubuntu3.13
libc6-dev	2.35-0ubuntu3.13
libc6-dev-arm64-cross	2.35-0ubuntu1cross3
libc6-dev-armhf-cross	2.35-0ubuntu1cross3
libcaca0	0.99.beta19-2.2ubuntu4.2
libcaca-dev	0.99.beta19-2.2ubuntu4.2
libcairo2	1.16.0-5ubuntu2.1
libcairo2	1.16.0-5ubuntu2.1
libcairo-gobject2	1.16.0-5ubuntu2.1
libcairo-gobject2	1.16.0-5ubuntu2.1
libcanberra0	0.30-10ubuntu1.22.04.1
libcanberra-gtk0	0.30-10ubuntu1.22.04.1
libcanberra-gtk-module	0.30-10ubuntu1.22.04.1
libcap2	1:2.44-1ubuntu0.22.04.3
libcap2	1:2.44-1ubuntu0.22.04.3
libcap2-bin	1:2.44-1ubuntu0.22.04.3
libcap-ng0	0.7.9-2.2build3
libc-bin	2.35-0ubuntu3.8
libcbor0.8	0.8.0-2ubuntu1
libcc1-0	12.3.0-1ubuntu1~22.04.3
libc-dev-bin	2.35-0ubuntu3.13
libc-devtools	2.35-0ubuntu3.13
libclone-perl	0.45-1build3
libcom-err2	1.46.5-2ubuntu1.2
libcom-err2	1.46.5-2ubuntu1.2
libconfig-auto-perl	0.44-1.1
libconfig-inifiles-perl	3.000003-1ubuntu0.1
libcrypt1	1:4.4.27-1
libcrypt1	1:4.4.27-1
libcrypt-dev	1:4.4.27-1
libctf0	2.38-4ubuntu2.12
libctf-nobfd0	2.38-4ubuntu2.12
libcups2	2.4.1op1-1ubuntu4.21
libcups2	2.4.1op1-1ubuntu4.21
libcurl3-gnutls	7.81.0-1ubuntu1.25
libcurl4	7.81.0-1ubuntu1.25
libdata-dump-perl	1.25-1
libdatrie1	0.2.13-2
libdatrie1	0.2.13-2
libdb5.3	5.3.28+dfsg1-0.8ubuntu3
libdbus-1-3	1.12.20-2ubuntu4.1
libdbus-1-3	1.12.20-2ubuntu4.1
libdebconfclient0	0.261ubuntu1
libdebian-dpkgcross-perl	2.6.18+nmu2
libdebuginfod1	0.186-1ubuntu0.1
libdebuginfod-common	0.186-1ubuntu0.1
libdeflate0	1.10-2
libdeflate0	1.10-2
libdpkg-perl	1.21.1ubuntu2.6
